code;region;
Vldr-SL_Chullncn1;Sud Lipez;
Vldr-SL_Hedionda;Sud Lipez;
Vldr-SL_ChiarKkt;Sud Lipez;
Vldr-SL_Pujio;Sud Lipez;
Vldr-SL_Honda;Sud Lipez;
Vldr-SL_Ballivin;Sud Lipez;
Vldr-SL_Ramadits;Sud Lipez;
Vldr-SL_PstsGrnd1;Sud Lipez;
Vldr-SL_Cachi;Sud Lipez;
Vldr-SL_LagnClrd1;Sud Lipez;
Vldr-SL_Chullncn2;Sud Lipez;
Vldr-SL_Puripica;Sud Lipez;
Vldr-SL_LagnClrd2;Sud Lipez;
Vldr-SL_LagunVrd;Sud Lipez;
Vldr-SL_PstsGrnd2;Sud Lipez;
Vldr-SL_PstsGrnd3;Sud Lipez;
Vldr-SL_PstsGrnd4;Sud Lipez;
Vldr-SL_PstsGrnd5;Sud Lipez;
Vldr-SL_PstsGrnd6;Sud Lipez;
Vldr-SL_PstsGrnd7;Sud Lipez;
Vldr-SL_PstsGrnd8;Sud Lipez;
Vldr-SL_PstsGrnd9;Sud Lipez;
Vldr-SL_PstsGrnd10;Sud Lipez;
Vldr-SL_PstsGrnd11;Sud Lipez;
Vldr-SL_PstsGrnd12;Sud Lipez;
Vldr-SL_PstsGrnd13;Sud Lipez;
Vldr-SL_PstsGrnd14;Sud Lipez;
Vldr-SL_PstsGrnd15;Sud Lipez;
Vldr-SL_PstsGrnd16;Sud Lipez;
Clm-A-C_Belmir-1;Colombia-Andes;
Clm-A-C_Belmir-2;Colombia-Andes;
Clm-A-C_Belmir-3;Colombia-Andes;
Clm-A-C_Guarne-1;Colombia-Andes;
Clm-A-C_Guarne-2;Colombia-Andes;
Clm-A-E_Cucunb-1;Colombia-Andes;
Clm-A-E_Cucunb-2;Colombia-Andes;
Clm-A-E_Verjon-1;Colombia-Andes;
Clm-A-E_Verjon-2;Colombia-Andes;
Clm-A-E_Verjon-3;Colombia-Andes;
Clm-A-E_Herrer-1;Colombia-Andes;
Clm-A-E_Herrer-2;Colombia-Andes;
Clm-A-E_Suesca-1;Colombia-Andes;
Clm-A-E_Suesca-2;Colombia-Andes;
Clm-A-E_Ubaque-1;Colombia-Andes;
Clm-A-E_Ubaque-2;Colombia-Andes;
Clm-A-E_Ubaque-3;Colombia-Andes;
Clm-A-E_Ubaque-4;Colombia-Andes;
Clm-A-E_Ubaque-5;Colombia-Andes;
Clm-A-E_Ubaque-6;Colombia-Andes;
Clm-A-E_Ubaque-7;Colombia-Andes;
Clm-A-E_Ubaque-8;Colombia-Andes;
Clm-A-E_Ubaque-9;Colombia-Andes;
Clm-A-E_Ubaqu-10;Colombia-Andes;
Clm-A-E_Ubaqu-11;Colombia-Andes;
Clm-A-E_Ubaqu-12;Colombia-Andes;
Clm-A-E_Fuquen-1;Colombia-Andes;
Clm-A-E_Fuquen-2;Colombia-Andes;
Clm-A-E_Fuquen-3;Colombia-Andes;
Clm-A-E_Fuquen-4;Colombia-Andes;
Clm-A-E_Guatvt-1;Colombia-Andes;
Clm-A-E_Guatvt-2;Colombia-Andes;
Clm-L-N_Ayapel-1;Colombia-Lowlands;
Clm-L-N_Ayapel-2;Colombia-Lowlands;
Clm-L-N_Ayapel-3;Colombia-Lowlands;
Clm-L-N_Ayapel-4;Colombia-Lowlands;
Clm-L-E_Mrgrts-1;Colombia-Lowlands;
Clm-L-E_Mrgrts-2;Colombia-Lowlands;
Clm-L-E_Mrgrts-3;Colombia-Lowlands;
Clm-L-E_Carimg-1;Colombia-Lowlands;
Clm-L-E_Carimg-2;Colombia-Lowlands;
Clm-L-E_Carimg-3;Colombia-Lowlands;
Clm-L-E_Carimg-4;Colombia-Lowlands;
Clm-L-E_Carimg-5;Colombia-Lowlands;
Clm-L-E_Pinal-1;Colombia-Lowlands;
Clm-L-E_Pinal-2;Colombia-Lowlands;
Clm-L-E_Pinal-3;Colombia-Lowlands;
Clm-L-W_Juncal-1;Colombia-Lowlands;
Clm-L-W_Juncal-2;Colombia-Lowlands;
Clm-L-W_Juncal-3;Colombia-Lowlands;
Clm-L-W_Antioq-1;Colombia-Lowlands;
Clm-L-W_Antioq-2;Colombia-Lowlands;
Clm-L-W_Antioq-3;Colombia-Lowlands;
Clm-L-W_Antioq-4;Colombia-Lowlands;
Clm-L-W_Antioq-5;Colombia-Lowlands;
Clm-L-W_Antioq-6;Colombia-Lowlands;
Clm-L-W_Antioq-7;Colombia-Lowlands;
Clm-L-W_Antioq-8;Colombia-Lowlands;
Clm-L-W_Antioq-9;Colombia-Lowlands;
