collection;species_original;genera_harmonised;species_harmonised
Smol-MicheluttiEcuador;Achnanthes daoensis;Achnanthes;Achnanthes daoensis
Smol-MicheluttiEcuador;Achnanthes daoensis;Achnanthes;Achnanthes daoensis
Smol-MicheluttiEcuador;Achnanthes spp;Achnanthes;Achnanthes spp
Smol-MicheluttiEcuador;Achnanthes spp;Achnanthes;Achnanthes spp
Smol-MicheluttiEcuador;Achnanthes spp;Achnanthes;Achnanthes spp
Smol-MicheluttiEcuador;Achnanthidium catenatum;Achnanthidium;Achnanthidium catenatum
Smol-MicheluttiEcuador;Achnanthes exigua;Achnanthidium;Achnanthidium exiguum
Smol-MicheluttiEcuador;Achnanthes helvetica;Achnanthidium;Achnanthidium helveticum
Smol-MicheluttiEcuador;Achnanthes helvetica;Achnanthidium;Achnanthidium helveticum
Smol-MicheluttiEcuador;Achnanthidium minutissimum;Achnanthidium;Achnanthidium minutissimum
Smol-MicheluttiEcuador;Achnanthidium minutissimum;Achnanthidium;Achnanthidium minutissimum
Smol-MicheluttiEcuador;Achnanthidium minutissimum;Achnanthidium;Achnanthidium minutissimum
Smol-MicheluttiEcuador;Achnanthes rosenstockii;Achnanthidium;Achnanthidium rosenstockii
Smol-MicheluttiEcuador;Navicula bryophila;Adlafia;Adlafia bryophila
Smol-MicheluttiEcuador;Navicula brypohila;Adlafia;Adlafia bryophila
Smol-MicheluttiEcuador;Navicula minuscula;Adlafia;Adlafia minuscula
Smol-MicheluttiEcuador;Amphora libyca;Amphora;Amphora copulata
Smol-MicheluttiEcuador;Amphora libyca;Amphora;Amphora copulata
Smol-MicheluttiEcuador;Amphora dusenii;Amphora;Amphora duseni
Smol-MicheluttiEcuador;Amphora inariensis;Amphora;Amphora inarensis
Smol-MicheluttiEcuador;Amphora pediculus;Amphora;Amphora pediculus
Smol-MicheluttiEcuador;Amphora spp.;Amphora;Amphora spp
Smol-MicheluttiEcuador;Aulacoseira alpigena;Aulacoseira;Aulacoseira alpigena
Smol-MicheluttiEcuador;Aulacoseira alpigena;Aulacoseira;Aulacoseira alpigena
Smol-MicheluttiEcuador;Aulacoseira alpigena;Aulacoseira;Aulacoseira alpigena
Smol-MicheluttiEcuador;Aulacoseira ambigua;Aulacoseira;Aulacoseira ambigua
Smol-MicheluttiEcuador;Aulacoseira cf distans;Aulacoseira;Aulacoseira cf distans
Smol-MicheluttiEcuador;Aulacoseira distans;Aulacoseira;Aulacoseira distans
Smol-MicheluttiEcuador;Aulacoseira distans var humilis;Aulacoseira;Aulacoseira distans var humilis
Smol-MicheluttiEcuador;Aulacoseira granulata;Aulacoseira;Aulacoseira granulata
Smol-MicheluttiEcuador;Aulacoseira sp.;Aulacoseira;Aulacoseira spp
Smol-MicheluttiEcuador;Aulacoseira subarctica;Aulacoseira;Aulacoseira subarctica
Smol-MicheluttiEcuador;Brachysira brebissoni;Brachysira;Brachysira brebissonii
Smol-MicheluttiEcuador;Brachysira brebissonii;Brachysira;Brachysira brebissonii
Smol-MicheluttiEcuador;Brachysira brebissonii;Brachysira;Brachysira brebissonii
Smol-MicheluttiEcuador;Brachysira microcephala;Brachysira;Brachysira microcephala
Smol-MicheluttiEcuador;Brachysira microcephala;Brachysira;Brachysira microcephala
Smol-MicheluttiEcuador;Brachysira microcephala;Brachysira;Brachysira microcephala
Smol-MicheluttiEcuador;Brachysira spp;Brachysira;Brachysira spp
Smol-MicheluttiEcuador;Brachysira spp.;Brachysira;Brachysira spp
Smol-MicheluttiEcuador;Brachysira vitrea;Brachysira;Brachysira vitrea
Smol-MicheluttiEcuador;Brachysira vitrea;Brachysira;Brachysira vitrea
Smol-MicheluttiEcuador;Brachysira vitrea;Brachysira;Brachysira vitrea
Smol-MicheluttiEcuador;Caloneis spp;Caloneis;Caloneis spp
Smol-MicheluttiEcuador;Caloneis spp;Caloneis;Caloneis spp
Smol-MicheluttiEcuador;Caloneis spp;Caloneis;Caloneis spp
Smol-MicheluttiEcuador;Cavinula cocconeiformis;Cavinula;Cavinula cocconeiformis
Smol-MicheluttiEcuador;Cavinula pseudoscutiformis;Cavinula;Cavinula pseudoscutiformis
Smol-MicheluttiEcuador;Cavinula pseudoscutiformis;Cavinula;Cavinula pseudoscutiformis
Smol-MicheluttiEcuador;Chamaepinnularia soehrensis;Chamaepinnularia;Chamaepinnularia soehrensis
Smol-MicheluttiEcuador;Cocconeis cf pseudothumensis;Cocconeis;Cocconeis cf pseudothumensis
Smol-MicheluttiEcuador;Cocconeis neotheumensis;Cocconeis;Cocconeis neothumensis
Smol-MicheluttiEcuador;Cocconeis neotheumensis;Cocconeis;Cocconeis neothumensis
Smol-MicheluttiEcuador;Cocconeis neotheumensis;Cocconeis;Cocconeis neothumensis
Smol-MicheluttiEcuador;Cocconeis placentula var lineata;Cocconeis;Cocconeis placentula var lineata
Smol-MicheluttiEcuador;Cocconeis placentula;Cocconeis;Cocconeis placentula var placentula
Smol-MicheluttiEcuador;Cocconeis placentula;Cocconeis;Cocconeis placentula var placentula
Smol-MicheluttiEcuador;Cocconeis placentula;Cocconeis;Cocconeis placentula var placentula
Smol-MicheluttiEcuador;Cocconeis spp;Cocconeis;Cocconeis spp
Smol-MicheluttiEcuador;Cocconeis spp;Cocconeis;Cocconeis spp
Smol-MicheluttiEcuador;Navicula molestiformis;Craticula;Craticula molestiformis
Smol-MicheluttiEcuador;Craticula spp.;Craticula;Craticula spp
Smol-MicheluttiEcuador;Cyclotella meneghiniana;Cyclotella;Cyclotella meneghiniana
Smol-MicheluttiEcuador;Cyclotella spp.;Cyclotella;Cyclotella spp
Smol-MicheluttiEcuador;Cyclotella Toreadora sp. 1;Cyclotella;Cyclotella Toreadora sp. 1
Smol-MicheluttiEcuador;Cyclotella tripartita;Cyclotella;Cyclotella tripartita
Smol-MicheluttiEcuador;Cymatopleura solea;Cymatopleura;Cymatopleura solea
Smol-MicheluttiEcuador;Cymbella affinis;Cymbella;Cymbella affinis var affinis
Smol-MicheluttiEcuador;Cymbella aspera;Cymbella;Cymbella aspera
Smol-MicheluttiEcuador;Cymbella aspera;Cymbella;Cymbella aspera
Smol-MicheluttiEcuador;Cymbella sp. (C. cf. cistula);Cymbella;Cymbella cf cistula
Smol-MicheluttiEcuador;Cymbella Chorerros sp. 1;Cymbella;Cymbella Chorerros sp. 1
Smol-MicheluttiEcuador;Cymbella excisa var angusta;Cymbella;Cymbella excisa var angusta
Smol-MicheluttiEcuador;Cymbella llaviacu sp. 1 (see photo);Cymbella;Cymbella Llaviacu sp.1
Smol-MicheluttiEcuador;Cymbella llaviacu sp. 2 (see photo);Cymbella;Cymbella Llaviacu sp.1
Smol-MicheluttiEcuador;Cymbella neocistula;Cymbella;Cymbella neocistula
Smol-MicheluttiEcuador;Cymbella neocistula;Cymbella;Cymbella neocistula
Smol-MicheluttiEcuador;Cymbella sp (cf. C. descripta);Cymbella;Cymbella sp descripta
Smol-MicheluttiEcuador;Cymbella sensu lato spp;Cymbella;Cymbella spp
Smol-MicheluttiEcuador;Cymbella sensu lato spp;Cymbella;Cymbella spp
Smol-MicheluttiEcuador;Cymbella sensu lato spp;Cymbella;Cymbella spp
Smol-MicheluttiEcuador;Cymbopleura sp (cf. C. hybridica);Cymbopleura;Cymbopleura cf hybrida
Smol-MicheluttiEcuador;Cymbella naviculiformis;Cymbopleura;Cymbopleura naviculiformis 
Smol-MicheluttiEcuador;Cymbella naviculiformis;Cymbopleura;Cymbopleura naviculiformis 
Smol-MicheluttiEcuador;Cymbella naviculiformis;Cymbopleura;Cymbopleura naviculiformis 
Smol-MicheluttiEcuador;Denticula elegans;Denticula;Denticula elegans
Smol-MicheluttiEcuador;Denticula kuetzingii;Denticula;Denticula kuetzingii
Smol-MicheluttiEcuador;Denticula kuetzingii;Denticula;Denticula kuetzingii
Smol-MicheluttiEcuador;Denticula kuetzingii;Denticula;Denticula kuetzingii
Smol-MicheluttiEcuador;Denticula spp.;Denticula;Denticula spp
Smol-MicheluttiEcuador;Navicula gallica;Diadesmis;Diadesmis gallica
Smol-MicheluttiEcuador;Diadesmis ingeaeformis;Diadesmis;Diadesmis ingeaeformis
Smol-MicheluttiEcuador;Diadesmis spp.;Diadesmis;Diadesmis spp
Smol-MicheluttiEcuador;Diatoma mesodon;Diatoma;Diatoma mesodon
Smol-MicheluttiEcuador;Diatoma monoliformis;Diatoma;Diatoma moniliformis
Smol-MicheluttiEcuador;Diatoma tenuis;Diatoma;Diatoma tenuis
Smol-MicheluttiEcuador;Diatoma tenuis;Diatoma;Diatoma tenuis
Smol-MicheluttiEcuador;Diatoma tenuis;Diatoma;Diatoma tenuis
Smol-MicheluttiEcuador;Diploneis sp (cf. D. subovalis);Diploneis;Diploneis cf subovalis
Smol-MicheluttiEcuador;Diploneis elliptica;Diploneis;Diploneis elliptica var elliptica
Smol-MicheluttiEcuador;Diploneis ovalis;Diploneis;Diploneis ovalis
Smol-MicheluttiEcuador;Diploneis parma;Diploneis;Diploneis parma
Smol-MicheluttiEcuador;Diploneis sp;Diploneis;Diploneis spp
Smol-MicheluttiEcuador;Diploneis sp.;Diploneis;Diploneis spp
Smol-MicheluttiEcuador;Cyclotella stelligera;Discostella;Discostella stelligera
Smol-MicheluttiEcuador;Discostella stelligera;Discostella;Discostella stelligera
Smol-MicheluttiEcuador;Discostella stelligera;Discostella;Discostella stelligera
Smol-MicheluttiEcuador;Discostella stelligera;Discostella;Discostella stelligera
Smol-MicheluttiEcuador;Encyonema sp (cf. E. gracile);Encyonema;Encyonema cf gracile
Smol-MicheluttiEcuador;Encyonema sp (cf. E. lange-bertalotii);Encyonema;Encyonema cf lange-bertalotii
Smol-MicheluttiEcuador;Encyonema sp (cf. E. lange-bertalotii);Encyonema;Encyonema cf lange-bertalotii
Smol-MicheluttiEcuador;Encyonema fogedii;Encyonema;Encyonema fogedii
Smol-MicheluttiEcuador;Cymbella gauemannii;Encyonema;Encyonema gaeumannii
Smol-MicheluttiEcuador;Encyonema gauemannii;Encyonema;Encyonema gaeumannii
Smol-MicheluttiEcuador;Encyonema gauemannii;Encyonema;Encyonema gaeumannii
Smol-MicheluttiEcuador;Encyonema gauemannii;Encyonema;Encyonema gaeumannii
Smol-MicheluttiEcuador;Encyonema gracile;Encyonema;Encyonema gracile
Smol-MicheluttiEcuador;Encyonema gracile;Encyonema;Encyonema gracile
Smol-MicheluttiEcuador;Encyonema minutiforme;Encyonema;Encyonema minutiforme
Smol-MicheluttiEcuador;Encyonema minutum;Encyonema;Encyonema minutum
Smol-MicheluttiEcuador;Encyonema minutum;Encyonema;Encyonema minutum
Smol-MicheluttiEcuador;Encyonema minutum;Encyonema;Encyonema minutum
Smol-MicheluttiEcuador;Encyonema neogracile;Encyonema;Encyonema neogracile
Smol-MicheluttiEcuador;Encyonema neomesianum;Encyonema;Encyonema neomesianum
Smol-MicheluttiEcuador;Encyonema silesiacum;Encyonema;Encyonema silesiacum
Smol-MicheluttiEcuador;Encyonema silesiacum;Encyonema;Encyonema silesiacum
Smol-MicheluttiEcuador;Encyonema silesiacum;Encyonema;Encyonema silesiacum
Smol-MicheluttiEcuador;Encyonopsis sp (aff. microcephala);Encyonopsis;Encyonopsis aff microcephala
Smol-MicheluttiEcuador;Encyonopsis cesattii ;Encyonopsis;Encyonopsis cesatii
Smol-MicheluttiEcuador;Encyonopsis cesattii ;Encyonopsis;Encyonopsis cesatii
Smol-MicheluttiEcuador;Encyonopsis cesattii ;Encyonopsis;Encyonopsis cesatii
Smol-MicheluttiEcuador;Encyonopsis cesattii (small form);Encyonopsis;Encyonopsis cesattii (small form)
Smol-MicheluttiEcuador;Encyonopsis cesattii (small form);Encyonopsis;Encyonopsis cesattii (small form)
Smol-MicheluttiEcuador;Encyonopsis cesattii (small form);Encyonopsis;Encyonopsis cesattii (small form)
Smol-MicheluttiEcuador;Cymbella descripta;Encyonopsis;Encyonopsis descripta 
Smol-MicheluttiEcuador;Cymbella descripta;Encyonopsis;Encyonopsis descripta 
Smol-MicheluttiEcuador;Cymbella descripta;Encyonopsis;Encyonopsis descripta 
Smol-MicheluttiEcuador;Cymbella falaisensis;Encyonopsis;Encyonopsis falaisensis 
Smol-MicheluttiEcuador;Encyonopsis microcephala;Encyonopsis;Encyonopsis microcephala
Smol-MicheluttiEcuador;Encyonopsis microcephala;Encyonopsis;Encyonopsis microcephala
Smol-MicheluttiEcuador;Encyonopsis microcephala;Encyonopsis;Encyonopsis microcephala
Smol-MicheluttiEcuador;Encyonopsis subminuta;Encyonopsis;Encyonopsis subminuta
Smol-MicheluttiEcuador;Epithemia adnata;Epithemia;Epithemia adnata
Smol-MicheluttiEcuador;Epithemia argus;Epithemia;Epithemia argus
Smol-MicheluttiEcuador;Epthemia argus;Epithemia;Epithemia argus
Smol-MicheluttiEcuador;Epithemia spp;Epithemia;Epithemia spp
Smol-MicheluttiEcuador;Epithemia turgidula;Epithemia;Epithemia turgida
Smol-MicheluttiEcuador;Eucocconeis flexella;Eucocconeis;Eucocconeis  flexella 
Smol-MicheluttiEcuador;Achnanthes flexella;Eucocconeis;Eucocconeis flexella
Smol-MicheluttiEcuador;Achnanthes flexella;Eucocconeis;Eucocconeis flexella
Smol-MicheluttiEcuador;Achnanthes flexella;Eucocconeis;Eucocconeis flexella
Smol-MicheluttiEcuador;Achnanthes laevis;Eucocconeis;Eucocconeis laevis
Smol-MicheluttiEcuador;Achnanthes laevis;Eucocconeis;Eucocconeis laevis
Smol-MicheluttiEcuador;Eunotia arcus;Eunotia ;Eunotia arcus
Smol-MicheluttiEcuador;Eunotia bilunaria;Eunotia;Eunotia bilunaris
Smol-MicheluttiEcuador;Eunotia bilunaris;Eunotia;Eunotia bilunaris
Smol-MicheluttiEcuador;Eunotia arcus;Eunotia ;Eunotia cf arcus
Smol-MicheluttiEcuador;Eunotia cf arcus;Eunotia;Eunotia cf arcus
Smol-MicheluttiEcuador;Eunotia exigua;Eunotia;Eunotia exigua
Smol-MicheluttiEcuador;Eunotia exigua;Eunotia;Eunotia exigua
Smol-MicheluttiEcuador;Eunotia implicata;Eunotia;Eunotia implicata
Smol-MicheluttiEcuador;Eunotia implicata;Eunotia;Eunotia implicata
Smol-MicheluttiEcuador;Eunotia implicata;Eunotia;Eunotia implicata
Smol-MicheluttiEcuador;Eunotia incisa;Eunotia;Eunotia incisa
Smol-MicheluttiEcuador;Eunotia incisa;Eunotia;Eunotia incisa
Smol-MicheluttiEcuador;Eunotia incisa;Eunotia;Eunotia incisa
Smol-MicheluttiEcuador;Eunotia intermedia;Eunotia;Eunotia intermedia
Smol-MicheluttiEcuador;Eunotia muscicula var tridentula;Eunotia;Eunotia muscicola var tridentula
Smol-MicheluttiEcuador;Eunotia naegelii;Eunotia;Eunotia naegelii
Smol-MicheluttiEcuador;Eunotia naegelii;Eunotia;Eunotia naegelii
Smol-MicheluttiEcuador;Eunotia praerupta;Eunotia;Eunotia praerupta
Smol-MicheluttiEcuador;Eunotia spp;Eunotia;Eunotia spp
Smol-MicheluttiEcuador;Eunotia spp;Eunotia;Eunotia spp
Smol-MicheluttiEcuador;Eunotia spp;Eunotia;Eunotia spp
Smol-MicheluttiEcuador;Eunotia tenella;Eunotia;Eunotia tenella
Smol-MicheluttiEcuador;Fragilaria capucina;Fragilaria;Fragilaria capucina
Smol-MicheluttiEcuador;Fragilaria capucina;Fragilaria;Fragilaria capucina
Smol-MicheluttiEcuador;Fragilaria capucina;Fragilaria;Fragilaria capucina
Smol-MicheluttiEcuador;Fragilaria capucina var gracilis;Fragilaria;Fragilaria capucina var gracilis
Smol-MicheluttiEcuador;Fragilaria nanana;Fragilaria;Fragilaria nanana
Smol-MicheluttiEcuador;Fragilaria nanana;Fragilaria;Fragilaria nanana
Smol-MicheluttiEcuador;Fragilaria nanana;Fragilaria;Fragilaria nanana
Smol-MicheluttiEcuador;Fragilaria pinnata var lancettula;Fragilaria;Fragilaria pinnata var lancettula
Smol-MicheluttiEcuador;Staurosirella pinnata var lancettula ;Fragilaria;Fragilaria pinnata var lancettula
Smol-MicheluttiEcuador;Staurosirella pinnata var lancettula ;Fragilaria;Fragilaria pinnata var lancettula
Smol-MicheluttiEcuador;FragilarIa sp.1 HUAMANMARCA;Fragilaria;FragilarIa sp.1 HUAMANMARCA
Smol-MicheluttiEcuador;Fragilaria sensu lato spp;Fragilaria;Fragilaria spp
Smol-MicheluttiEcuador;Fragilaria sensu lato spp;Fragilaria;Fragilaria spp
Smol-MicheluttiEcuador;Fragilaria sensu lato spp;Fragilaria;Fragilaria spp
Smol-MicheluttiEcuador;Fragilaria tenera;Fragilaria;Fragilaria tenera
Smol-MicheluttiEcuador;Fragilaria tenera;Fragilaria;Fragilaria tenera
Smol-MicheluttiEcuador;Fragilaria tenera;Fragilaria;Fragilaria tenera
Smol-MicheluttiEcuador;Fragilaria vaucheriae;Fragilaria;Fragilaria vaucheriae
Smol-MicheluttiEcuador;Frustulia Chorerros sp. 1;Frustulia;Frustulia Chorreros sp.1
Smol-MicheluttiEcuador;Frustulia crassinervia;Frustulia;Frustulia crassinervia
Smol-MicheluttiEcuador;Frustulia rhomboides;Frustulia;Frustulia rhomboides
Smol-MicheluttiEcuador;Frustulia saxonica;Frustulia;Frustulia saxonica
Smol-MicheluttiEcuador;Frustulia spp;Frustulia;Frustulia spp
Smol-MicheluttiEcuador;Frustulia spp;Frustulia;Frustulia spp
Smol-MicheluttiEcuador;Navicula modica;Geissleria;Geissleria modica 
Smol-MicheluttiEcuador;Navicula modica;Geissleria;Geissleria modica 
Smol-MicheluttiEcuador;Gomphonema acuminatum;Gomphonema;Gomphonema acuminatum
Smol-MicheluttiEcuador;Gomphonema acuminatum;Gomphonema;Gomphonema acuminatum
Smol-MicheluttiEcuador;Gomphonema acuminatum;Gomphonema;Gomphonema acuminatum
Smol-MicheluttiEcuador;Gomphonema angustatum;Gomphonema;Gomphonema angustatum
Smol-MicheluttiEcuador;Gomphonema angustum;Gomphonema;Gomphonema angustum
Smol-MicheluttiEcuador;Gomphonema angustum;Gomphonema;Gomphonema angustum
Smol-MicheluttiEcuador;Gomphonema angustum;Gomphonema;Gomphonema angustum
Smol-MicheluttiEcuador;Gomphonema auritum;Gomphonema;Gomphonema auritum
Smol-MicheluttiEcuador;Gomphonema cf netriviale;Gomphonema;Gomphonema cf netriviale
Smol-MicheluttiEcuador;Gomphonema clavatum;Gomphonema;Gomphonema clavatum
Smol-MicheluttiEcuador;Gomphonema gracile;Gomphonema;Gomphonema gracile
Smol-MicheluttiEcuador;Gomphonema gracile;Gomphonema;Gomphonema gracile
Smol-MicheluttiEcuador;Gomphonema gracile;Gomphonema;Gomphonema gracile
Smol-MicheluttiEcuador;Gomphonema gracile;Gomphonema;Gomphonema gracile
Smol-MicheluttiEcuador;Gomphonema lagenula;Gomphonema;Gomphonema lagenula
Smol-MicheluttiEcuador;Gomphonema parvulum;Gomphonema;Gomphonema parvulum
Smol-MicheluttiEcuador;Gomphonema parvulum;Gomphonema;Gomphonema parvulum
Smol-MicheluttiEcuador;Gomphonema parvulum;Gomphonema;Gomphonema parvulum
Smol-MicheluttiEcuador;Gomphonema spp;Gomphonema;Gomphonema spp
Smol-MicheluttiEcuador;Gomphonema spp;Gomphonema;Gomphonema spp
Smol-MicheluttiEcuador;Gomphonema spp;Gomphonema;Gomphonema spp
Smol-MicheluttiEcuador;Gomphonema subtile;Gomphonema;Gomphonema subtile
Smol-MicheluttiEcuador;Gomphonema truncatum;Gomphonema;Gomphonema truncatum
Smol-MicheluttiEcuador;Gomphonema capitatum;Gomphonema;Gomphonema truncatum var capitatum
Smol-MicheluttiEcuador;Gomphonema sp.1 ESTRELLANI;Gomphonema;Gomphonema variostriatum
Smol-MicheluttiEcuador;Hannaea arcus;Hannea;Hannaea arcus
Smol-MicheluttiEcuador;Hannea arcus;Hannea;Hannaea arcus
Smol-MicheluttiEcuador;Hannea arcus;Hannea;Hannaea arcus
Smol-MicheluttiEcuador;Hannea arcus;Hannea;Hannaea arcus
Smol-MicheluttiEcuador;Hantzschia amphioxys;Hantzschia;Hantzschia amphioxys
Smol-MicheluttiEcuador;Navicula subtilissima;Kobayasiella;Kobayasiella subtilissima
Smol-MicheluttiEcuador;Luticola mutica;Luticola;Luticola mutica
Smol-MicheluttiEcuador;Navicula mutica;Luticola;Luticola mutica
Smol-MicheluttiEcuador;Navicula atomus;Mayamaea;Mayamaea atomus
Smol-MicheluttiEcuador;Meridion circulaire;Meridion;Meridion circulare
Smol-MicheluttiEcuador;Meridion circulaire;Meridion;Meridion circulare
Smol-MicheluttiEcuador;Navicula sp. (aff. lapidosa);Navicula;Navicula aff lapidosa
Smol-MicheluttiEcuador;Navicula angusta;Navicula;Navicula angusta
Smol-MicheluttiEcuador;Navicula angustata;Navicula;Navicula angusta
Smol-MicheluttiEcuador;Navicula sp. (cf. N chiarae);Navicula;Navicula cf chiarae
Smol-MicheluttiEcuador;Navicula sp. (cf. N chiarae);Navicula;Navicula cf chiarae
Smol-MicheluttiEcuador;Navicula sp. (cf. N chiarae);Navicula;Navicula cf chiarae
Smol-MicheluttiEcuador;Navicula sp. (cf N. leptostriata);Navicula;Navicula cf leptostriata
Smol-MicheluttiEcuador;Navicula sp. (cf. N. minuscula);Navicula;Navicula cf minuscula
Smol-MicheluttiEcuador;Navicula sp. (cf. N. veneta);Navicula;Navicula cf veneta
Smol-MicheluttiEcuador;Navicula sp (N. cf. vitabunda);Navicula;Navicula cf vitabunda
Smol-MicheluttiEcuador;Navicula cryptocephala;Navicula;Navicula cryptocephala
Smol-MicheluttiEcuador;Navicula cryptocephala;Navicula;Navicula cryptocephala
Smol-MicheluttiEcuador;Navicula cryptocephala;Navicula;Navicula cryptocephala
Smol-MicheluttiEcuador;Navicula cryptotenella;Navicula;Navicula cryptotenella
Smol-MicheluttiEcuador;Navicula cryptotenella;Navicula;Navicula cryptotenella
Smol-MicheluttiEcuador;Navicula cryptotenella;Navicula;Navicula cryptotenella
Smol-MicheluttiEcuador;Navicula heimansioides;Navicula;Navicula heimansioides sensu
Smol-MicheluttiEcuador;Navicula jaernfeltii;Navicula;Navicula jaernfeltii
Smol-MicheluttiEcuador;Navicula leptostriata;Navicula;Navicula leptostriata
Smol-MicheluttiEcuador;Navicula libonensis;Navicula;Navicula margalithii
Smol-MicheluttiEcuador;Navicula phyllepta;Navicula;Navicula phyllepta
Smol-MicheluttiEcuador;Navicula radiosa;Navicula ;Navicula radiosa
Smol-MicheluttiEcuador;Navicula radiosa;Navicula ;Navicula radiosa
Smol-MicheluttiEcuador;Navicula radiosa;Navicula ;Navicula radiosa
Smol-MicheluttiEcuador;Navicula rynchocephala;Navicula ;Navicula rhynchocephela
Smol-MicheluttiEcuador;Navicula rynchocephala;Navicula ;Navicula rhynchocephela
Smol-MicheluttiEcuador;Navicula schmasmannii;Navicula;Navicula schmasmannii
Smol-MicheluttiEcuador;Navicula sp.1 NAPALE;Navicula;Navicula sp.1 NAPALE
Smol-MicheluttiEcuador;Navicula spp;Navicula;Navicula spp
Smol-MicheluttiEcuador;Navicula spp;Navicula;Navicula spp
Smol-MicheluttiEcuador;Navicula spp;Navicula;Navicula spp
Smol-MicheluttiEcuador;Navicula Toreadora sp. 1;Navicula;Navicula Toereadora sp.1
Smol-MicheluttiEcuador;Navicula trivialis;Navicula;Navicula trivialis
Smol-MicheluttiEcuador;Navicula trivialis;Navicula;Navicula trivialis
Smol-MicheluttiEcuador;Navicula veneta;Navicula;Navicula veneta
Smol-MicheluttiEcuador;Navicula veneta;Navicula;Navicula veneta
Smol-MicheluttiEcuador;Navicula viridula;Navicula;Navicula viridula
Smol-MicheluttiEcuador;Navicula viridula;Navicula;Navicula viridula
Smol-MicheluttiEcuador;Navicula viridula var. linearis;Navicula;Navicula viridula var linearis
Smol-MicheluttiEcuador;Navicula viridulacalcis;Navicula;Navicula viridulacalcis
Smol-MicheluttiEcuador;Navicula vulpina;Navicula;Navicula vulpina
Smol-MicheluttiEcuador;Navicula vulpina;Navicula;Navicula vulpina
Smol-MicheluttiEcuador;Navicula absoluta;Naviculadicta;Naviculadicta absoluta
Smol-MicheluttiEcuador;Neidium ampliatum;Neidium;Neidium ampliatum
Smol-MicheluttiEcuador;Neidium ampliatum;Neidium;Neidium ampliatum
Smol-MicheluttiEcuador;Neidium spp;Neidium ;Neidium spp
Smol-MicheluttiEcuador;Neidium spp;Neidium ;Neidium spp
Smol-MicheluttiEcuador;Nitzschia acicularis;Nitzschia;Nitzschia acicularis
Smol-MicheluttiEcuador;Nitzschia acicularis;Nitzschia;Nitzschia acicularis
Smol-MicheluttiEcuador;Nitzschia alpina;Nitzschia;Nitzschia alpina
Smol-MicheluttiEcuador;Nitzschia alpina;Nitzschia;Nitzschia alpina
Smol-MicheluttiEcuador;Nitzschia alpinobacillum;Nitzschia;Nitzschia alpinobacillum
Smol-MicheluttiEcuador;Nitzschia amphibia;Nitzschia;Nitzschia amphibia 
Smol-MicheluttiEcuador;Nitzschia amphibia;Nitzschia;Nitzschia amphibia 
Smol-MicheluttiEcuador;Nitzschia amphibia;Nitzschia;Nitzschia amphibia 
Smol-MicheluttiEcuador;Nitzschia bacillum;Nitzschia;Nitzschia bacillum
Smol-MicheluttiEcuador;Nitzschia dissipata;Nitzschia;Nitzschia dissipata
Smol-MicheluttiEcuador;Nitzschia dissipata;Nitzschia;Nitzschia dissipata
Smol-MicheluttiEcuador;Nitzschia dissipata;Nitzschia;Nitzschia dissipata
Smol-MicheluttiEcuador;Nitzschia fonticola;Nitzschia;Nitzschia fonticola
Smol-MicheluttiEcuador;Nitzschia fonticola;Nitzschia;Nitzschia fonticola
Smol-MicheluttiEcuador;Nitzschia fonticola;Nitzschia;Nitzschia fonticola
Smol-MicheluttiEcuador;Nitzschia frustulum;Nitzschia;Nitzschia frustulum
Smol-MicheluttiEcuador;Nitzschia frustulum;Nitzschia;Nitzschia frustulum
Smol-MicheluttiEcuador;Nitzschia frustulum;Nitzschia;Nitzschia frustulum
Smol-MicheluttiEcuador;Nitzschia gracilis;Nitzschia;Nitzschia gracilis
Smol-MicheluttiEcuador;Nitzschia gracilis;Nitzschia;Nitzschia gracilis
Smol-MicheluttiEcuador;Nitzschia gracilis;Nitzschia;Nitzschia gracilis
Smol-MicheluttiEcuador;Nitzschia inconspicua;Nitzschia;Nitzschia inconspicua
Smol-MicheluttiEcuador;Nitzschia lacuum;Nitzschia;Nitzschia lacuum
Smol-MicheluttiEcuador;Nitzschia lacuum;Nitzschia;Nitzschia lacuum
Smol-MicheluttiEcuador;Nitzschia lacuum;Nitzschia;Nitzschia lacuum
Smol-MicheluttiEcuador;Nitzschia lacuum;Nitzschia;Nitzschia lacuum
Smol-MicheluttiEcuador;Nitzschia oberheimiana;Nitzschia;Nitzschia oberheimiana
Smol-MicheluttiEcuador;Nitzschia palea;Nitzschia;Nitzschia palea
Smol-MicheluttiEcuador;Nitzschia palea;Nitzschia;Nitzschia palea
Smol-MicheluttiEcuador;Nitzschia permintua;Nitzschia;Nitzschia perminuta
Smol-MicheluttiEcuador;Nitzschia permintua;Nitzschia;Nitzschia perminuta
Smol-MicheluttiEcuador;Nitzschia permintua;Nitzschia;Nitzschia perminuta
Smol-MicheluttiEcuador;Nitzschia pura;Nitzschia;Nitzschia pura
Smol-MicheluttiEcuador;Nitzschia recta;Nitzschia;Nitzschia recta
Smol-MicheluttiEcuador;Nitzschia recta;Nitzschia;Nitzschia recta
Smol-MicheluttiEcuador;Nitzschia recta;Nitzschia;Nitzschia recta
Smol-MicheluttiEcuador;Nitzschia sinuata;Nitzschia;Nitzschia sinuata
Smol-MicheluttiEcuador;Nitzschia sinuata;Nitzschia;Nitzschia sinuata
Smol-MicheluttiEcuador;Nitzschia sinuata var. delongei;Nitzschia;Nitzschia sinuata var delognei
