Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
CYAL;2;2;1;1;1;1;4;Cymbella alpestris;K. Krammer 2002;Cymbella cymbiformis var. nonpunctata [2];116
CASP;4;2;1;1;1;-;-;Cymbella aspera;(C.G. Ehrenberg) H. Peragallo 1889;;"116; 152"
CCMP;4;2;1;1;2;5;-;Cymbella compacta;E.V. Østrup 1910;Cymbella helvetica var. compacta;"116; 152"
CCYM;3;2;1;1;1;2;2;Cymbella cymbiformis;C.A. Agardh 1830;Cymbella cistula var. maculata;"116; 152"
CCNO;3;2;1;1;1;2;2;Cymbella cymbiformis var. nonpunctata;C.W. Fontell 1917;;116
CAEX;4;2;1;1;2;5;2;Cymbella excisa;F.T. Kützing 1844;Cymbella affinis [2];"116; 152"
CHAN;3;2;-;-;-;4;-;Cymbella hantzschiana;K. Krammer 2002;Cymbella parva [2];"116; 152"
CHEL;4;2;1;1;1;3;2;Cymbella helvetica;F.T. Kützing 1844 s.str.;;"116; 138; 152"
CHUS;4;2;1;1;1;2;3;Cymbella hustedtii;G. Krasske 1923;;"116; 152"
CKPP;3;1;1;1;1;1;-;Cymbella kappii;(B.J. von Cholnoky) B.J. von Cholnoky 1956;;116
CLAE;3;2;1;1;1;1;4;Cymbella laevis;C.W. Nägeli in F.T. Kützing 1849;;"116; 152"
CLAN;4;2;-;-;-;-;-;Cymbella lanceolata;(C.A. Agardh) C.A. Agardh 1830;;"116; 152"
CLBE;4;2;1;1;1;-;-;Cymbella lange-bertalotii;K. Krammer 2002;;"116; 152"
CNCI;4;2;1;1;2;4;1;Cymbella neocistula;K. Krammer 2002;;"116; 152"
CNLC;4;2;1;1;2;4;1;Cymbella neolanceolata;W.J. da Silva in W.J. da Silva, M.G. Machado de Souza et C.E. Barnes Proena 2013;Cymbella lanceolata [2];242
CNLP;4;2;1;1;1;4;3;Cymbella neoleptoceros;K. Krammer 2002;;"116; 152"
CNTE;4;2;1;1;1;4;3;Cymbella neoleptoceros var. tenuistriata;K. Krammer 2002;;116
CPAR;4;2;-;-;-;2;-;Cymbella parva;(W. Smith) E.O.O. von Kirchner in F.J. Cohn 1878;;"116; 152"
CPAS;-;2;-;-;-;2;-;Cymbella peraspera;K. Krammer 2002;;116
CPPV;4;2;-;-;-;2;-;Cymbella perparva;K. Krammer 2002;;116
CPRX;4;1;1;1;2;3;-;Cymbella proxima;C.W. Reimer in R.M. Patrick et C.W. Reimer 1975;;"116; 152"
CREH;3;2;1;1;1;3;3;Cymbella reinhardtii;A. Grunow in A. Schmidt et al. 1875;;118
CSGP;3;2;-;-;-;4;-;Cymbella stigmaphora;E.V. Østrup 1910;;116
CSUA;4;2;1;1;1;2;-;Cymbella subaspera;K. Krammer 2003;Cymbella aspera var. minor;116
CSCI;4;2;1;2;2;5;1;Cymbella subcistula;K. Krammer 2002;;116
CSLP;4;2;-;-;-;4;3;Cymbella subleptoceros;K. Krammer 2002;;116
CTUM;4;2;1;1;1;4;1;Cymbella tumida;(L.A. de Brébisson ex F.T. Kützing) H.F. van Heurck 1880;;152
CNID;5;2;-;-;-;-;-;Cymbellonitzschia diluviana;F. Hustedt 1950;;"118; 152"
CBAM;3;2;1;1;1;2;3;Cymbopleura amphicephala;(C.W. Nägeli) K. Krammer 2003;Cymbella amphicephala;"117; 152"
CAGL;-;1;1;1;1;1;-;Cymbopleura anglica;(N.G.W. Lagerstedt) K. Krammer 2003;;117
CBAG;3;1;1;1;1;1;3;Cymbopleura angustata;(W. Smith) K. Krammer 2003;Cymbella angustata;117
CBCU;3;2;1;1;1;-;-;Cymbopleura cuspidata;(F.T. Kützing) K. Krammer 2003;Cymbella cuspidata;"117; 152"
CHCN;3;2;1;1;1;1;3;Cymbopleura hercynica;(A. Schmidt) K. Krammer 2003;Cymbella amphicephala var. hercynica;117
CBHY;4;1;1;1;1;1;-;Cymbopleura hybrida;(A. Grunow) K. Krammer 2003;Cymbella hybrida;"117; 152"
CIQL;5;2;1;1;1;3;1;Cymbopleura inaequalis;(C.G. Ehrenberg) K. Krammer 2003;Cymbella ehrenbergii;"117; 152"
CBIF;3;1;1;1;1;1;3;Cymbopleura incertiformis;K. Krammer 2003;;"117; 153"
CBLP;-;1;-;-;-;1;-;Cymbopleura lapponica;(A. Grunow ex P.T. Cleve) K. Krammer 2003;Cymbella lapponica;"117; 118"
CYBL;-;2;-;-;-;-;-;Cymbopleura lata;(A. Grunow in P.T. Cleve) K. Krammer 2003;Cymbella lata;117
