Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
;;;2014;50;106;A MIS 3 charcoal and pollen record and quantitative precipitation inferences from the Jingerwa section of the Nihewan Basin, north-central China;China;40 06 N;40;6;40 6; ;N;114 20 E;114;20;114 20; ;E;Pollen, Charcoal;Late Pleistocene;;;
;;;2014;51;107;Abrupt deglaciation on the northeastern Tibetan Plateau: evidence from Lake Qinghai;China;36 45 35,65 N;36;45;36 45;35,65;N;100 20 59,24 E;100;20;100 20;59,24;E;Geochemistry;Late Pleistocene, Holocene;;;
;;;2014;52;108;A 16-ka δ18O record of lacustrine sugar biomarkers from the High Himalaya reflects Indian Summer Monsoon variability;Nepal;28 02 31,71 N;28;2;28 2;31,71;N;85 42 48,97 E;85;42;85 42;48,97;E;stable isotopes, sugar biomarkers;Late Pleistocene, Holocene;;;
;;;2014;53;109;Monsoonal forcing of Holocene paleoenvironmental change on the central Tibetan Plateau inferred using a sediment record from Lake Nam Co (Xizang, China);China;30 42 00,00 N;30;42;30 42;0;N;90 42 00,00 E;90;42;90 42;0;E;Geochemistry;Late Pleistocene, Holocene;;;
;;;2014;54;110;Persistence of Artemisia steppe in the Tangra Yumco Basin, west-central Tibet, China: despite or in consequence of Holocene lake-level changes?;China;30 46 N;30;46;30 46; ;N;86 40 E;86;40;86 40; ;E;Pollen , spores, Ostracods, charcoal;Holocene;;;
;;;2014;55;111;Recent ecological responses to climate variability and human impacts in the Nianbaoyeze Mountains (eastern Tibetan Plateau) inferred from pollen, diatom and tree-ring data;China;33 13 12,00 N;33;13;33 13;12;N;101 07 12,00 E;101;7;101 7;12;E;Pollen, diatoms;Late Holocene;;;
;;;2014;56;112;A high-resolution sedimentary archive from landslide-dammed Lake Mengda, north-eastern Tibetan Plateau;China;35 47 24,00 N;35;47;35 47;24;N;102 40 12,00 E;102;40;102 40;12;E;Geochemistry, XRF;Late Holocene;;;
;;;2014;57;113;Relationships between chironomids and water depth in Bosten Lake, Xinjiang, northwest China;China;41 49 N;41;49;41 49; ;N;86 41 E;86;41;86 41; ;E;Chironomids;modern;;;
;1;January;2014;58;114;Environmental impacts of Little Ice Age cooling in central Mexico recorded in the sediments of a tropical alpine lake;Mexico;19 06 N;19;6;19 6; ;N;99 45 W;99;45;99 45; ;W;Diatoms, cladocerans;Late Holocene;Principal and several local affiliations;America;
;;;2014;59;115;Heavy metal records in the sediments of Nanyihu Lake, China: influencing factors and source identification;China;30 29 07,25 N;30;29;30 29;7,25;N;114 22 00,58 E;114;22;114 22;0,58;E;Heavy metals;Late Holocene;;;
;;;2014;60;116;The eutrophication history of a tropical water supply reservoir in Brazil;Brazil;23 41 S;23;41;23 41; ;S;46 43 W;46;43;46 43; ;W;Diatoms, Geochemistry;Late Holocene;;;
;;;2014;61;117;Reconstruction of landscape paleohydrology using the sediment archives of three dystrophic lakes in northeastern Poland;Poland;54 00 35 N;54;0;54 0;35;N;23 06 46 E;23;6;23 6;46;E;Pollen;Holocene;;;
;;;2014;62;118;Reconstructing past precipitation from lake levels and inverse modelling for Andean Lake La Cocha;Colombia;01 06 N;1;6;1 6; ;N;77 09 W;77;9;77 9; ;W;Pollen;Holocene;No local affiliations;America;
;;;2014;63;119;Big Ben: a new wide-bore piston corer for multi-proxy palaeolimnology;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2014;64;120;Ecological responses to climate change in a bird-impacted High Arctic pond (Nordaustlandet, Svalbard);Norway;79 58 N;79;58;79 58; ;N;18 34 E;18;34;18 34; ;E;ostracods, chironomidae;Late Holocene;;;
;;;2014;65;121;Palaeoclimate inferred from δ18O and palaeobotanical indicators in freshwater tufa of Lake Äntu Sinijärv, Estonia;Estonia;59 03 N;59;3;59 3; ;N;26 14 E;26;14;26 14; ;E;pollen, stable isotopes;Holocene;;;
;;;2014;66;122;A diverse scientific life;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2014;67;123;Reminiscences and acknowledgements from a lover of deserts near the end of her professional life;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2014;68;124;A short summary of my forty years in paleolimnology;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2014;69;125;2013 Outstanding Reviewers;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
50;4;December;2103;1;126;Pollen, phytoliths, arthropods and high-resolution 14C sampling from Rano Kau, Easter Island: evidence for late Quaternary environments, ant (Formicidae) distributions and human activity;Chile;27 09 S;27;9;27 9; ;S;109 26 W;109;26;109 26; ;W;Pollen, Phytoliths, arthropods;Middle Holocene;;;
;;;2103;2;127;Diatom assemblage changes in lacustrine sediments from Isla de los Estados, southernmost South America, in response to shifts in the southwesterly wind belt during the last deglaciation;Argentina;54 45 51,3 S;54;45;54 45;51,3;S;64 20 20,07 W;64;20;64 20;20,07;W;diatoms, biogenic silica;late Pleistonce, Holocene;;;
;;;2103;3;128;Changes in submerged macrophyte abundance altered diatom and chironomid assemblages in a shallow lake;United States ;42 15 N;42;15;42 15; ;N;75 50 W;75;50;75 50; ;W;Chironomids, diatoms, macrophytes;Late Holocene;;;
;;;2103;4;129;Consequences of anthropogenic activity for two remote alpine lakes in NW Slovenia as tracked by sediment geochemistry;Slovenia;46 19 03 N;46;19;46 19;3;N;13 47 03 E;13;47;13 47;3;E;organic matter, stable isotopes;Late Holocene;;;
;;;2103;5;130;Recent environmental change and trace metal pollution in World Heritage Bathurst Harbour, southwest Tasmania, Australia;Australia;43 20 35,2 S;43;20;43 20;35,2;S;146 11 1,7 E;146;11;146 11;1,7;E;diatoms, trace metals;Late Holocene;;;
;;;2103;6;131;Laminated lake sediments in northeast Poland: distribution, preconditions for formation and potential for paleoenvironmental investigation;Poland;54 06 41,48 N;54;6;54 6;41,48;N;22 55 50,84 E;22;55;22 55;50,84;E;biogenic lamination, varves;N/A;;;
;;;2103;7;132;Occurrence and significance of a cold-water carbonate pseudomorph in microbialites from a saline lake;Canada;52 45 N;52;45;52 45; ;N;109 43 W;109;43;109 43; ;W;Microbialites, calcite;Late Holocene;;;
;;;2103;8;133;"A chrysophyte stomatocyst-based reconstruction of cold-season air temperature from Alpine Lake Silvaplana (AD 1500–2003); methods and concepts for quantitative inferences";Switzerland;46 27 01,42 N;46;27;46 27;1,42;N;9 47 35,75 E;9;47;9 47;35,75;E;chrysophite;Late Holocene;;;
;;;2103;9;134;Recently induced anoxia leading to the preservation of seasonal laminae in two NE-German lakes;Germany;53 35 34,64 N;53;35;53 35;34,64;N;12 31 43,30 E;12;31;12 31;43,3;E;Diatoms, XRF;Late Holocene;;;
;;;2103;10;135;Lake ecosystem responses to catchment disturbance and airborne pollution: an 800-year perspective in southern Sweden;Sweden;57 05 00,00 N;57;5;57 5; ;N;14 29 00,00 E;14;29;14 29; ;E;stable isotopes, inorganic elements, hydrocarbons;Late Holocene;;;
;;;2103;11;136;Modification of climate signals by human activities recorded in varved sediments (AD 1608–1942) of Lake Holzmaar (Germany);Germany;50 07 12,96 N;50;7;50 7;12,96;N;06 52 36,04 E;6;52;6 52;36,04;E;XRF, diatoms;Late Holocene;;;
;;;2103;12;137;Potential influence of the chemical composition of water on the stable oxygen isotope composition of continental ostracods;N/A;N/A;;; ;;;N/A;;; ;;;ostracods, stable isotopes;modern;;;
;;;2103;13;138;Inferring organic content of sediments by scanning reflectance spectroscopy (380–730 nm): applying a novel methodology in a case study from proglacial lakes in Norway;Norway;60 10 56 N;60;10;60 10;56;N;6 20 28 E;6;20;6 20;28;E;organic carbon,  LOI, Reflectance spectroscopy;Late Holocene;;;
;3;October;2103;14;139;Chironomid assemblages in cores from multiple water depths reflect oxygen-driven changes in a deep French lake over the last 150 years;France;45 51 41,49 N;45;51;45 51;41,49;N;06 10 02,36 E;6;10;6 10;2,36;E;Chironomid;Late Holocene;;;
;;;2103;15;140;Origin and significance of diagenetic concretions in sediments of Laguna Potrok Aike, southern Argentina;Argentina;51 57 45,07 S;51;57;51 57;45,07;S;70 22 45,74 W;70;22;70 22;45,74;W;Authigenic minerals;Holocene;;;
;;;2103;16;141;A novel repeat-coring approach to reconstruct recent sediment, phosphorus, and mercury loading from the upper Mississippi River to Lake Pepin, USA;United States ;44 32 10,59 N;44;32;44 32;10,59;N;92 18 44,29 W;92;18;92 18;44,29;W;Nitrogen, mercury;Holocene;;;
;;;2103;17;142;Constrained age of Glacial Lake Narragansett and the deglacial chronology of the Laurentide Ice Sheet in southeastern New England;United States ;41 26 59,90 N;41;26;41 26;59,9;N;71 25 37,82 W;71;25;71 25;37,82;W;varve correlation;late Pleistocene, Holocene;;;
;;;2103;18;143;Ecology of testate amoebae in peatlands of central China and development of a transfer function for paleohydrological reconstruction;China;29 41 20,39 N;29;41;29 41;20,39;N;109 02 26,86 E;109;2;109 2;26,86;E;testate amoebae;modern;;;
;;;2103;19;144;Alkanes, compound-specific carbon isotope measures and climate variation during the last millennium from varved sediments of Lake Xiaolongwan, northeast China;China;42 57 43,85 N;42;57;42 57;43,85;N;124 45 46,11 E;124;45;124 45;46,11;E;alkanes,  compound specific;Late Holocene;;;
;;;2103;20;145;32Si dating of sediments from Lake Baikal;Russia;53 33 31,32 N;53;33;53 33;31,32;N;108 09 53,99 E;108;9;108 9;53,99;E;turbidites,  silice;Late Holocene;;;
;;;2103;21;146;Stable isotope compositions of recent Dreissena polymorpha (Pallas) shells: paleoenvironmental implications;Poland;52 33 N;52;33;52 33; ;N;17 23 E;17;23;17 23; ;E;bivalves, stable isotopes;modern;;;
;;;2103;22;147;Holocene paleoecology of a wild rice (Zizania sp.) lake in Northwestern Ontario, Canada;Canada;48 39 27,87 N;48;39;48 39;27,87;N;90 02 51,07 W;90;2;90 2;51,07;W;Pollen, phytoliths;Holocene;;;
;;;2103;23;148;A study of the δ13C offset between chironomid larvae and their exuvial head capsules: implications for palaeoecology;N/A;N/A;;; ;;;N/A;;; ;;;Chironomidae, stable isotopes;modern;;;
;;;2103;24;149;Estimation of carbonate, total organic carbon, and biogenic silica content by FTIR and XRF techniques in lacustrine sediments;Malawi;11 40 12,41 S;11;40;11 40;12,41;S;34 41 08,34 E;34;41;34 41;8,34;E;XRF, TOC, Carbonate content, biogenic silica;N/A;No local affiliations;Africa;
;;;2103;25;150;Eutrophication of a small, deep lake in southern New Zealand: the effects of twentieth-century forest clearance, changing nutrient influx, light penetration and bird behaviour;New Zealand;40 56 32,61 S;40;56;40 56;32,61;S;172 47 55,07 E;172;47;172 47;55,07;E;Chironomids;Late Holocene;;;
;2;August;2103;26;151;Diatom-inference models for acid neutralizing capacity and nitrate based on 41 calibration lakes in the Sierra Nevada, California, USA;United States ;38 00 25,41 N;38;0;38 0;25,41;N;119 00 44,13 W;119;0;119 0;44,13;W;Diatoms;modern, late Holocene;;;
;;;2103;27;152;Assessment of drought over the past two millennia using near-shore sediment cores from a Canadian boreal lake;Canada;50 14 N;50;14;50 14; ;N;91 27 W;91;27;91 27; ;W;Diatoms, Chrysophytes, Pigments;Late Holocene;;;
;;;2103;28;153;Identifying recent sources of organic matter enrichment and eutrophication trends at coastal sites using stable nitrogen and carbon isotope ratios in sediment cores;Finland;60 27 06,52 N;60;27;60 27;6,52;N;22 15 59,87 E;22;15;22 15;59,87;E;stable isotopes,  organic matter;Late Holocene;;;
;;;2103;29;154;Diatom–environment relationships and a transfer function for conductivity in lakes of the Badain Jaran Desert, Inner Mongolia, China;China;39 40 N;39;40;39 40; ;N;102 20 E;102;20;102 20; ;E;Diatoms;Modern;;;
;;;2103;30;155;Evidence of the North Atlantic Oscillation in varve composition and diatom assemblages from recent, annually laminated sediments of Lake Belau, northern Germany;Germany;54 6 N;54;6;54 6; ;N;10 16 E;10;16;10 16; ;E;diatoms, varves;late Holocene;;;
;;;2103;31;156;Sediment geochemical records of environmental change in Lake Wuliangsu, Yellow River Basin, north China;China;41 00 N;41;0;41 0; ;N;108 00 E;108;0;108 0; ;E;heavy metals, stable isotopes, trace elements;Late Holocene;;;
;1;June;2103;32;157;Sedimentation dynamics and metal loading in Lake Pyhäjärvi, Finland;Finland;63 43 34.78 N;63;43;63 43;34,78;N;25 58 23.43 E;25;58;25 58;23,43;E;Echo sounding, heavy metals;Holocene;;;
;;;2103;33;158;Late Holocene changes in cyanobacterial community structure in maritime Antarctic lakes;Antarctica;63 36 39,23 S;63;36;63 36;39,23;S;57 20 39,59 W;57;20;57 20;39,59;W;Cyanobacteria, fossil DNA, pigments;Holocene;;;
;;;2103;34;159;Ascospores of the parasitic fungus Kretzschmaria deusta as rainstorm indicators during a late Holocene beech-forest phase around lake Meerfelder Maar, Germany;Germany;50 06 N;50;6;50 6; ;N;06 45 E;6;45;6 45; ;E;Ascospores;Late Holocene;;;
;;;2103;35;160;Changes in sub-fossil chironomid assemblages in two Northern Patagonian lake systems associated with the occurrence of historical fires;Chile;45 42 35 S;45;42;45 42;35;S;72 12 53 W;72;12;72 12;53;W;Chironomids, charcoal;Late Holocene;;;
;;;2103;36;161;Geochemical responses to paleoclimatic changes in southern Sweden since the late glacial: the Hässeldala Port lake sediment record;Sweden;56 16 N;56;16;56 16; ; N;15 03 E;15;3;15 3; ;E;Geochemistry, XRF;Late Pleistocene, Holocene;;;
;;;2103;37;162;Atmospheric Pb pollution in N Iberia during the late Iron Age/Roman times reconstructed using the high-resolution record of La Molina mire (Asturias, Spain);Spain;43 22 52,2 N;43;22;43 22;52,2;N;6 19 38,4 W;6;19;6 19;38,4;W;trace metals, lead isotopes;Late Holocene;;;
;;;2103;38;163;Assessing the performance of a diatom transfer function on four Minnesota lake sediment cores: effects of training set size and sample age;United States ;47 13 N;47;13;47 13; ;N;93 30 W;93;30;93 30; ;W;diatoms;Late Holocene;;;
;;;2103;39;164;A model for the demise of large, glacial Lake Ojibway, Ontario and Quebec;United States ;47 56 57,08 N;47;56;47 56;57,08;N;91 32 42,78 W;91;32;91 32;42,78;W;sedimentology;Late Pleistocene, Holocene;;;
;;;2103;40;165;Relationship between diatoms and water quality (TN, TP) in sub-tropical east Australian estuaries;Australia;27 58 S;27;58;27 58; ;S;153 25 E;153;25;153 25; ;E;Diatoms;modern;;;
;;;2103;41;166;Impact of pre-Columbian agriculture, climate change, and tectonic activity inferred from a 5,700-year paleolimnological record from Lake Nicaragua;Nicaragua;11 34 43,17 N;11;34;11 34;43,17;N;85 21 17,87 W;85;21;85 21;17,87;W;Diatoms;mid holocene;No local affiliations;America;
;;;2103;42;167;On the distribution of diatoms on cover slips: cause for concern;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
49;4;April;2013;43;168;A 17,300-year record of mercury accumulation in a pristine lake in southern Chile;Chile;53 36 13,19 S;53;36;53 36;13,19;S;70 57 8,77 W;70;57;70 57;8,77;W;mercury;late Pleistonce, Holocene;;;
;;;2013;44;169;Untangling the influence of in-lake productivity and terrestrial organic matter flux on 4,250 years of mercury accumulation in Lake Hambre, Southern Chile;Chile;53 36 13,19 S;53;36;53 36;13,19;S;70 57 8,77 W;70;57;70 57;8,77;W;Mercury, Organic matter;Middle Holocene;;;
;;;2013;45;170;A 16-ka lake-level record inferred from macrofossils in a sediment core from Genggahai Lake, northeastern Qinghai–Tibetan Plateau (China);China;36 11 N;36;11;36 11; ;N;100 06 E;100;6;100 6; ;E;macrofossils;late Pleistonce, Holocene;;;
;;;2013;46;171;Late Holocene history of the floodplain lakes of the Cauca River, Colombia;Colombia;6 30 49,43 N;6;30;6 30;49,43;N;75 49 03,35 W;75;49;75 49;3,35;W;Diatoms;Late Holocene;One local affiliation. Coauthor;America;
;;;2013;47;172;A record of early to middle Holocene environmental change inferred from lake deposits beneath a sabkha sequence in the Central Sahara (Seggedim, NE Niger);Niger;20 12 13 N;20;12;20 12;13;N;12 57 57 E;12;57;12 57;57;E;Stratigraphy, X-ray, XRF;Early to middle Holocene;No local affiliations;Africa;
;;;2013;48;173;Increased precipitation during the Little Ice Age in northern Taiwan inferred from diatoms and geochemistry in a sediment core from a subalpine lake;Taiwan;24 30 N;24;30;24 30; ;N;121 36 E;121;36;121 36; ;E;Diatoms, geochemistry;Late Holocene;;;
;;;2013;49;174;Holocene changes in climate and land use drove shifts in the diversity of testate amoebae in a subalpine pond;France;45 14 26 N;45;14;45 14;26;N;06 29 59 E;6;29;6 29;59;E;testate amoebae;Holocene;;;
;;;2013;50;175;A 2300-year record of environmental change from SW Anatolia, Lake Burdur, Turkey;Turkey;37 43 58,34 N;37;43;37 43;58,34;N;30 10 13,72 E;30;10;30 10;13,72;E;Geochemistry;Late Holocene;;;
;;;2013;51;176;Natural and human-induced environmental changes in Eastern Europe during the Holocene: a multi-proxy palaeolimnological study of a small Latvian lake in a humid temperate zone;Latvia;57 02 N;57;2;57 2; ;N;25 20 E;25;20;25 20; ;E;Diatoms, macrofossils, geochemistry;Holocene;;;
;;;2013;52;177;Changes in the biota and sediments of glacial Lake Koźmin, Poland, during the late Saalian (Illinoian);Poland;52 11 59,50 N;52;11;52 11;59,5;N;18 38 18,49 E;18;38;18 38;18,49;E;Cladocera, sedimentology;;;;
;;;2013;53;178;210Pb dating: thirty-five years on;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;54;179;A. Omstedt: Guide to process based modeling of lakes and coastal seas;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;55;180;I. Karanovic: Recent Freshwater Ostracods of the World: Crustacea, Ostracoda, Podocopida;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;56;181;2012 Outstanding reviewers;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;3;March;2013;57;182;Introduction to ‘A celebration of Prof Rick Battarbee’s contributions to paleolimnology’;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;58;183;Rick Battarbee and his many contributions to palaeolimnology;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;59;184;A whole-basin, mass-balance approach to paleolimnology;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;60;185;The relative influences of climate and catchment processes on Holocene lake development in glaciated regions;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;61;186;‘Diatoms and pH reconstruction’ (1990) revisited;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;62;187;Reconstructing epilimnetic total phosphorus using diatoms: statistical and ecological constraints;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;63;188;The role of palaeolimnology in assessing eutrophication and its impact on lakes;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;64;189;Diatom taphonomy and silica cycling in two freshwater lakes and their implications for inferring past lake productivity;Ireland;54 35 36,06 N;54;35;54 35;36,06;N;06 24 58,32 W;6;24;6 24;58,32;W;porewater geochemistry, diatoms;Late Holocene;;;
;;;2013;65;190;Palaeolimnological records of shallow lake biodiversity change: exploring the merits of single versus multi-proxy approaches;Australia;35 58 08,97 S;35;58;35 58;8,97;S;146 26 57,06 E;146;26;146 26;57,06;E;Diatoms, cladocerans;Late Holocene;;;
;;;2013;66;191;Environmental magnetic studies of sediment cores from Gonghai Lake: implications for monsoon evolution in North China during the late glacial and Holocene;China;38 54 N;38;54;38 54; ;N;112 14 E;112;14;112 14; ;E;Magnetic parameters;Late Pleistocene, Holocene;;;
;;;2013;67;192;Mud and magnetism: records of late Pleistocene and Holocene environmental change recorded by magnetic measurements;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;68;193;Recent advances in isotopes as palaeolimnological proxies;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;69;194;Comparing and cross-validating lake and bog palaeoclimatic records: a review and a new 5,000 year chironomid-inferred temperature record from northern England;England;54 14 15 N;54;14;54 14;15;N;02 59 24 W;2;59;2 59;24;W;Chironomids;Mid Holocene;;;
;;;2013;70;195;Global change revealed by palaeolimnological records from remote lakes: a review;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2013;71;196;Why Future Earth needs lake sediment studies;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;2;February;2013;72;197;Influence of sample location and livestock numbers on Sporormiella concentrations and accumulation rates in surface sediments of Lake Allos, French Alps;France;44 14 N;44;14;44 14; ;N;06 42 E;6;42;6 42; ;E;Fungi;Late Holocene;;;
;;;2013;73;198;A 100-year record of changes in organic matter characteristics and productivity in Lake Bhimtal in the Kumaon Himalaya, NW India;India;29 20 N;29;20;29 20; ;N;79 36 E;79;36;79 36; ;E;stable isotopes, n-alaknes, organic matter;Late Holocene;;;
